,Date,Open,High,Low,Close,Volume
0,2024-04-04,66.39,67.0,64.14,64.94,"2,544,505"
1,2024-04-03,63.33,65.89,62.8,65.62,"1,690,023"
2,2024-04-02,63.35,64.2,62.1,63.19,"1,871,660"
3,2024-04-01,60.51,63.85,60.48,63.43,"1,565,080"
4,2024-03-28,57.67,61.65,57.67,59.78,"3,000,674"
5,2024-03-27,58.41,59.2,57.12,57.29,"630,872"
6,2024-03-26,59.25,60.02,58.14,58.31,"903,939"
7,2024-03-22,58.01,59.75,57.91,59.26,"783,714"
8,2024-03-21,57.94,59.4,57.65,57.84,"934,469"
9,2024-03-20,57.66,58.2,55.8,56.7,"840,051"
10,2024-03-19,57.85,59.3,56.95,57.14,"845,067"
11,2024-03-18,60.19,60.74,57.85,58.44,"1,665,244"
12,2024-03-15,59.99,61.7,57.35,59.5,"1,995,833"
13,2024-03-14,54.0,61.45,52.62,60.54,"5,071,439"
14,2024-03-13,60.43,61.36,53.17,54.28,"2,017,078"
15,2024-03-12,62.15,62.77,59.74,60.27,"2,078,695"
16,2024-03-11,64.51,64.66,61.8,62.19,"1,419,676"
17,2024-03-07,65.69,66.25,64.05,64.37,"1,537,020"
18,2024-03-06,67.5,68.05,64.03,65.17,"2,019,972"
19,2024-03-05,62.8,67.95,62.33,67.37,"3,222,510"
20,2024-03-04,63.81,64.18,62.41,62.93,"977,841"
21,2024-03-01,63.01,63.95,62.75,63.28,"1,299,897"
22,2024-02-29,60.51,63.05,60.22,62.68,"1,786,668"
23,2024-02-28,63.89,63.89,60.36,61.05,"2,239,369"
24,2024-02-27,64.9,65.48,62.61,63.25,"685,692"
25,2024-02-26,65.99,65.99,64.56,64.85,"1,432,855"
26,2024-02-23,67.0,67.34,65.45,65.79,"735,873"
27,2024-02-22,66.54,67.3,63.9,66.84,"3,115,858"
28,2024-02-21,66.15,68.39,65.45,65.9,"2,482,824"
29,2024-02-20,67.23,67.55,65.48,65.85,"1,671,238"
30,2024-02-19,66.95,68.81,65.93,66.99,"2,821,056"
31,2024-02-16,68.22,68.95,66.26,66.72,"2,212,144"
32,2024-02-15,65.99,67.99,64.21,67.44,"4,663,909"
33,2024-02-14,60.63,66.15,60.4,65.63,"1,954,369"
34,2024-02-13,58.87,63.98,58.36,63.27,"5,131,390"
35,2024-02-12,67.95,68.18,58.36,60.1,"2,797,553"
36,2024-02-09,70.37,72.32,65.04,67.96,"6,077,870"
37,2024-02-08,76.29,76.38,69.4,69.93,"9,463,105"
38,2024-02-07,67.28,76.85,66.94,74.22,"7,483,905"
39,2024-02-06,65.32,68.81,64.44,66.54,"3,885,663"
40,2024-02-05,62.74,70.34,61.76,64.72,"13,633,260"
41,2024-02-02,60.91,63.45,60.63,62.07,"5,649,519"
42,2024-02-01,57.99,59.95,55.8,59.51,"6,892,765"
43,2024-01-31,56.31,58.8,55.71,57.46,"2,970,055"
44,2024-01-30,56.39,58.7,55.14,56.07,"3,460,606"
45,2024-01-29,54.81,57.5,54.43,55.94,"5,547,594"
46,2024-01-25,54.75,55.42,53.75,54.36,"1,697,259"
47,2024-01-24,53.25,55.05,51.55,54.8,"3,301,345"
48,2024-01-23,57.25,57.53,52.54,52.96,"3,097,705"
49,2024-01-19,53.19,55.0,52.5,54.6,"5,669,806"
50,2024-01-18,51.98,53.43,49.29,52.78,"2,495,318"
51,2024-01-17,52.03,52.7,51.03,51.32,"1,469,074"
52,2024-01-16,52.87,54.34,51.75,53.07,"2,397,922"
53,2024-01-15,52.2,53.8,51.9,52.52,"3,549,495"
54,2024-01-12,50.74,52.55,50.53,51.95,"1,908,512"
55,2024-01-11,50.13,51.1,50.13,50.62,"1,200,414"
56,2024-01-10,49.53,50.43,49.51,50.06,"597,975"
57,2024-01-09,50.61,51.4,49.7,49.93,"1,193,926"
58,2024-01-08,51.99,52.05,50.2,50.43,"737,539"
59,2024-01-05,52.87,53.33,51.26,51.88,"1,330,002"
60,2024-01-04,52.24,53.2,52.01,52.48,"2,027,319"
61,2024-01-03,51.09,52.95,50.66,51.97,"2,216,752"
62,2024-01-02,50.45,52.1,49.94,51.02,"3,443,554"
63,2024-01-01,50.49,51.42,49.75,50.43,"796,210"
64,2023-12-29,50.67,51.4,49.75,50.07,"2,599,600"
65,2023-12-28,49.1,51.38,49.1,50.19,"3,058,334"
66,2023-12-27,48.66,49.94,48.66,49.05,"668,703"
67,2023-12-26,48.67,49.4,48.22,48.67,"543,753"
68,2023-12-22,49.52,49.75,48.06,48.68,"1,526,325"
69,2023-12-21,47.5,49.45,46.2,49.2,"2,905,476"
70,2023-12-20,52.5,52.7,47.0,47.7,"5,004,653"
